"Country","Month","Day","Daily_Deaths","Date"
"France","01","22",0,2020-01-22
"France","01","23",0,2020-01-23
"France","01","24",0,2020-01-24
"France","01","25",0,2020-01-25
"France","01","26",0,2020-01-26
"France","01","27",0,2020-01-27
"France","01","28",0,2020-01-28
"France","01","29",0,2020-01-29
"France","01","30",0,2020-01-30
"France","01","31",0,2020-01-31
"France","02","01",0,2020-02-01
"France","02","02",0,2020-02-02
"France","02","03",0,2020-02-03
"France","02","04",0,2020-02-04
"France","02","05",0,2020-02-05
"France","02","06",0,2020-02-06
"France","02","07",0,2020-02-07
"France","02","08",0,2020-02-08
"France","02","09",0,2020-02-09
"France","02","10",0,2020-02-10
"France","02","11",0,2020-02-11
"France","02","12",0,2020-02-12
"France","02","13",0,2020-02-13
"France","02","14",0,2020-02-14
"France","02","15",1,2020-02-15
"France","02","16",1,2020-02-16
"France","02","17",1,2020-02-17
"France","02","18",1,2020-02-18
"France","02","19",1,2020-02-19
"France","02","20",1,2020-02-20
"France","02","21",1,2020-02-21
"France","02","22",1,2020-02-22
"France","02","23",1,2020-02-23
"France","02","24",1,2020-02-24
"France","02","25",1,2020-02-25
"France","02","26",2,2020-02-26
"France","02","27",2,2020-02-27
"France","02","28",2,2020-02-28
"France","02","29",2,2020-02-29
"France","03","01",2,2020-03-01
"France","03","02",3,2020-03-02
"France","03","03",4,2020-03-03
"France","03","04",4,2020-03-04
"France","03","05",6,2020-03-05
"France","03","06",9,2020-03-06
"France","03","07",11,2020-03-07
"France","03","08",19,2020-03-08
"France","03","09",19,2020-03-09
"France","03","10",33,2020-03-10
"France","03","11",48,2020-03-11
"France","03","12",48,2020-03-12
"France","03","13",79,2020-03-13
"France","03","14",91,2020-03-14
"France","03","15",91,2020-03-15
"France","03","16",149,2020-03-16
"France","03","17",149,2020-03-17
"France","03","18",149,2020-03-18
"France","03","19",244,2020-03-19
"France","03","20",451,2020-03-20
"France","03","21",563,2020-03-21
"France","03","22",676,2020-03-22
"France","03","23",862,2020-03-23
"France","03","24",1102,2020-03-24
"France","03","25",1333,2020-03-25
"France","03","26",1698,2020-03-26
"France","03","27",1997,2020-03-27
"France","03","28",2317,2020-03-28
"France","03","29",2611,2020-03-29
"France","03","30",3030,2020-03-30
"France","03","31",3532,2020-03-31
"France","04","01",4414,2020-04-01
"France","04","02",5398,2020-04-02
"France","04","03",6520,2020-04-03
"France","04","04",7574,2020-04-04
"France","04","05",8093,2020-04-05
"France","04","06",8926,2020-04-06
"France","04","07",10343,2020-04-07
"France","04","08",10887,2020-04-08
"France","04","09",12228,2020-04-09
"France","04","10",13215,2020-04-10
"France","04","11",13851,2020-04-11
"France","04","12",14412,2020-04-12
"France","04","13",14986,2020-04-13
"France","04","14",15731,2020-04-14
"France","04","15",17169,2020-04-15
"France","04","16",17922,2020-04-16
"France","04","17",18683,2020-04-17
"France","04","18",19325,2020-04-18
"France","04","19",19720,2020-04-19
"France","04","20",20267,2020-04-20
"France","04","21",20798,2020-04-21
"France","04","22",21342,2020-04-22
"France","04","23",21858,2020-04-23
"France","04","24",22248,2020-04-24
"France","04","25",22617,2020-04-25
"France","04","26",22859,2020-04-26
"France","04","27",23296,2020-04-27
"France","04","28",23663,2020-04-28
"France","04","29",24090,2020-04-29
"France","04","30",24379,2020-04-30
"France","05","01",24597,2020-05-01
"France","05","02",24763,2020-05-02
"France","05","03",24900,2020-05-03
"France","05","04",25204,2020-05-04
"France","05","05",25537,2020-05-05
"France","05","06",25812,2020-05-06
"France","05","07",25990,2020-05-07
"France","05","08",26233,2020-05-08
"France","05","09",26313,2020-05-09
"France","05","10",26383,2020-05-10
"France","05","11",26646,2020-05-11
"France","05","12",26994,2020-05-12
"France","05","13",27077,2020-05-13
"France","05","14",27428,2020-05-14
"France","05","15",27532,2020-05-15
"France","05","16",27532,2020-05-16
"France","05","17",28111,2020-05-17
"France","05","18",28242,2020-05-18
"France","05","19",28025,2020-05-19
"France","05","20",28135,2020-05-20
"France","05","21",28218,2020-05-21
"France","05","22",28292,2020-05-22
"France","05","23",28335,2020-05-23
"France","05","24",28370,2020-05-24
"France","05","25",28460,2020-05-25
"France","05","26",28533,2020-05-26
"France","05","27",28599,2020-05-27
"France","05","28",28665,2020-05-28
"France","05","29",28717,2020-05-29
"Germany","01","22",0,2020-01-22
"Germany","01","23",0,2020-01-23
"Germany","01","24",0,2020-01-24
"Germany","01","25",0,2020-01-25
"Germany","01","26",0,2020-01-26
"Germany","01","27",0,2020-01-27
"Germany","01","28",0,2020-01-28
"Germany","01","29",0,2020-01-29
"Germany","01","30",0,2020-01-30
"Germany","01","31",0,2020-01-31
"Germany","02","01",0,2020-02-01
"Germany","02","02",0,2020-02-02
"Germany","02","03",0,2020-02-03
"Germany","02","04",0,2020-02-04
"Germany","02","05",0,2020-02-05
"Germany","02","06",0,2020-02-06
"Germany","02","07",0,2020-02-07
"Germany","02","08",0,2020-02-08
"Germany","02","09",0,2020-02-09
"Germany","02","10",0,2020-02-10
"Germany","02","11",0,2020-02-11
"Germany","02","12",0,2020-02-12
"Germany","02","13",0,2020-02-13
"Germany","02","14",0,2020-02-14
"Germany","02","15",0,2020-02-15
"Germany","02","16",0,2020-02-16
"Germany","02","17",0,2020-02-17
"Germany","02","18",0,2020-02-18
"Germany","02","19",0,2020-02-19
"Germany","02","20",0,2020-02-20
"Germany","02","21",0,2020-02-21
"Germany","02","22",0,2020-02-22
"Germany","02","23",0,2020-02-23
"Germany","02","24",0,2020-02-24
"Germany","02","25",0,2020-02-25
"Germany","02","26",0,2020-02-26
"Germany","02","27",0,2020-02-27
"Germany","02","28",0,2020-02-28
"Germany","02","29",0,2020-02-29
"Germany","03","01",0,2020-03-01
"Germany","03","02",0,2020-03-02
"Germany","03","03",0,2020-03-03
"Germany","03","04",0,2020-03-04
"Germany","03","05",0,2020-03-05
"Germany","03","06",0,2020-03-06
"Germany","03","07",0,2020-03-07
"Germany","03","08",0,2020-03-08
"Germany","03","09",2,2020-03-09
"Germany","03","10",2,2020-03-10
"Germany","03","11",3,2020-03-11
"Germany","03","12",3,2020-03-12
"Germany","03","13",7,2020-03-13
"Germany","03","14",9,2020-03-14
"Germany","03","15",11,2020-03-15
"Germany","03","16",17,2020-03-16
"Germany","03","17",24,2020-03-17
"Germany","03","18",28,2020-03-18
"Germany","03","19",44,2020-03-19
"Germany","03","20",67,2020-03-20
"Germany","03","21",84,2020-03-21
"Germany","03","22",94,2020-03-22
"Germany","03","23",123,2020-03-23
"Germany","03","24",157,2020-03-24
"Germany","03","25",206,2020-03-25
"Germany","03","26",267,2020-03-26
"Germany","03","27",342,2020-03-27
"Germany","03","28",433,2020-03-28
"Germany","03","29",533,2020-03-29
"Germany","03","30",645,2020-03-30
"Germany","03","31",775,2020-03-31
"Germany","04","01",920,2020-04-01
"Germany","04","02",1107,2020-04-02
"Germany","04","03",1275,2020-04-03
"Germany","04","04",1444,2020-04-04
"Germany","04","05",1584,2020-04-05
"Germany","04","06",1810,2020-04-06
"Germany","04","07",2016,2020-04-07
"Germany","04","08",2349,2020-04-08
"Germany","04","09",2607,2020-04-09
"Germany","04","10",2767,2020-04-10
"Germany","04","11",2736,2020-04-11
"Germany","04","12",3022,2020-04-12
"Germany","04","13",3194,2020-04-13
"Germany","04","14",3294,2020-04-14
"Germany","04","15",3804,2020-04-15
"Germany","04","16",4052,2020-04-16
"Germany","04","17",4352,2020-04-17
"Germany","04","18",4459,2020-04-18
"Germany","04","19",4586,2020-04-19
"Germany","04","20",4862,2020-04-20
"Germany","04","21",5033,2020-04-21
"Germany","04","22",5279,2020-04-22
"Germany","04","23",5575,2020-04-23
"Germany","04","24",5760,2020-04-24
"Germany","04","25",5877,2020-04-25
"Germany","04","26",5976,2020-04-26
"Germany","04","27",6126,2020-04-27
"Germany","04","28",6314,2020-04-28
"Germany","04","29",6467,2020-04-29
"Germany","04","30",6623,2020-04-30
"Germany","05","01",6736,2020-05-01
"Germany","05","02",6812,2020-05-02
"Germany","05","03",6866,2020-05-03
"Germany","05","04",6993,2020-05-04
"Germany","05","05",6993,2020-05-05
"Germany","05","06",7275,2020-05-06
"Germany","05","07",7392,2020-05-07
"Germany","05","08",7510,2020-05-08
"Germany","05","09",7549,2020-05-09
"Germany","05","10",7569,2020-05-10
"Germany","05","11",7661,2020-05-11
"Germany","05","12",7738,2020-05-12
"Germany","05","13",7861,2020-05-13
"Germany","05","14",7884,2020-05-14
"Germany","05","15",7897,2020-05-15
"Germany","05","16",7938,2020-05-16
"Germany","05","17",7962,2020-05-17
"Germany","05","18",8003,2020-05-18
"Germany","05","19",8081,2020-05-19
"Germany","05","20",8144,2020-05-20
"Germany","05","21",8203,2020-05-21
"Germany","05","22",8228,2020-05-22
"Germany","05","23",8261,2020-05-23
"Germany","05","24",8283,2020-05-24
"Germany","05","25",8309,2020-05-25
"Germany","05","26",8372,2020-05-26
"Germany","05","27",8428,2020-05-27
"Germany","05","28",8470,2020-05-28
"Germany","05","29",8504,2020-05-29
"Italy","01","22",0,2020-01-22
"Italy","01","23",0,2020-01-23
"Italy","01","24",0,2020-01-24
"Italy","01","25",0,2020-01-25
"Italy","01","26",0,2020-01-26
"Italy","01","27",0,2020-01-27
"Italy","01","28",0,2020-01-28
"Italy","01","29",0,2020-01-29
"Italy","01","30",0,2020-01-30
"Italy","01","31",0,2020-01-31
"Italy","02","01",0,2020-02-01
"Italy","02","02",0,2020-02-02
"Italy","02","03",0,2020-02-03
"Italy","02","04",0,2020-02-04
"Italy","02","05",0,2020-02-05
"Italy","02","06",0,2020-02-06
"Italy","02","07",0,2020-02-07
"Italy","02","08",0,2020-02-08
"Italy","02","09",0,2020-02-09
"Italy","02","10",0,2020-02-10
"Italy","02","11",0,2020-02-11
"Italy","02","12",0,2020-02-12
"Italy","02","13",0,2020-02-13
"Italy","02","14",0,2020-02-14
"Italy","02","15",0,2020-02-15
"Italy","02","16",0,2020-02-16
"Italy","02","17",0,2020-02-17
"Italy","02","18",0,2020-02-18
"Italy","02","19",0,2020-02-19
"Italy","02","20",0,2020-02-20
"Italy","02","21",1,2020-02-21
"Italy","02","22",2,2020-02-22
"Italy","02","23",3,2020-02-23
"Italy","02","24",7,2020-02-24
"Italy","02","25",10,2020-02-25
"Italy","02","26",12,2020-02-26
"Italy","02","27",17,2020-02-27
"Italy","02","28",21,2020-02-28
"Italy","02","29",29,2020-02-29
"Italy","03","01",34,2020-03-01
"Italy","03","02",52,2020-03-02
"Italy","03","03",79,2020-03-03
"Italy","03","04",107,2020-03-04
"Italy","03","05",148,2020-03-05
"Italy","03","06",197,2020-03-06
"Italy","03","07",233,2020-03-07
"Italy","03","08",366,2020-03-08
"Italy","03","09",463,2020-03-09
"Italy","03","10",631,2020-03-10
"Italy","03","11",827,2020-03-11
"Italy","03","12",1016,2020-03-12
"Italy","03","13",1266,2020-03-13
"Italy","03","14",1441,2020-03-14
"Italy","03","15",1809,2020-03-15
"Italy","03","16",2158,2020-03-16
"Italy","03","17",2503,2020-03-17
"Italy","03","18",2978,2020-03-18
"Italy","03","19",3405,2020-03-19
"Italy","03","20",4032,2020-03-20
"Italy","03","21",4825,2020-03-21
"Italy","03","22",5476,2020-03-22
"Italy","03","23",6077,2020-03-23
"Italy","03","24",6820,2020-03-24
"Italy","03","25",7503,2020-03-25
"Italy","03","26",8215,2020-03-26
"Italy","03","27",9134,2020-03-27
"Italy","03","28",10023,2020-03-28
"Italy","03","29",10779,2020-03-29
"Italy","03","30",11591,2020-03-30
"Italy","03","31",12428,2020-03-31
"Italy","04","01",13155,2020-04-01
"Italy","04","02",13915,2020-04-02
"Italy","04","03",14681,2020-04-03
"Italy","04","04",15362,2020-04-04
"Italy","04","05",15887,2020-04-05
"Italy","04","06",16523,2020-04-06
"Italy","04","07",17127,2020-04-07
"Italy","04","08",17669,2020-04-08
"Italy","04","09",18279,2020-04-09
"Italy","04","10",18849,2020-04-10
"Italy","04","11",19468,2020-04-11
"Italy","04","12",19899,2020-04-12
"Italy","04","13",20465,2020-04-13
"Italy","04","14",21067,2020-04-14
"Italy","04","15",21645,2020-04-15
"Italy","04","16",22170,2020-04-16
"Italy","04","17",22745,2020-04-17
"Italy","04","18",23227,2020-04-18
"Italy","04","19",23660,2020-04-19
"Italy","04","20",24114,2020-04-20
"Italy","04","21",24648,2020-04-21
"Italy","04","22",25085,2020-04-22
"Italy","04","23",25549,2020-04-23
"Italy","04","24",25969,2020-04-24
"Italy","04","25",26384,2020-04-25
"Italy","04","26",26644,2020-04-26
"Italy","04","27",26977,2020-04-27
"Italy","04","28",27359,2020-04-28
"Italy","04","29",27682,2020-04-29
"Italy","04","30",27967,2020-04-30
"Italy","05","01",28236,2020-05-01
"Italy","05","02",28710,2020-05-02
"Italy","05","03",28884,2020-05-03
"Italy","05","04",29079,2020-05-04
"Italy","05","05",29315,2020-05-05
"Italy","05","06",29684,2020-05-06
"Italy","05","07",29958,2020-05-07
"Italy","05","08",30201,2020-05-08
"Italy","05","09",30395,2020-05-09
"Italy","05","10",30560,2020-05-10
"Italy","05","11",30739,2020-05-11
"Italy","05","12",30911,2020-05-12
"Italy","05","13",31106,2020-05-13
"Italy","05","14",31368,2020-05-14
"Italy","05","15",31610,2020-05-15
"Italy","05","16",31763,2020-05-16
"Italy","05","17",31908,2020-05-17
"Italy","05","18",32007,2020-05-18
"Italy","05","19",32169,2020-05-19
"Italy","05","20",32330,2020-05-20
"Italy","05","21",32486,2020-05-21
"Italy","05","22",32616,2020-05-22
"Italy","05","23",32735,2020-05-23
"Italy","05","24",32785,2020-05-24
"Italy","05","25",32877,2020-05-25
"Italy","05","26",32955,2020-05-26
"Italy","05","27",33072,2020-05-27
"Italy","05","28",33142,2020-05-28
